no.,type,mean,Geography,Study,Period,ifr,ifr1,ifr2,LifeExp ,GDPpc,,Life Exp at birth (yr),GDPpc (US$)
,s_ifr,y,China (Hong-Kong),Kwok 2017,2009-2011,42.8,23.5,62,85,54107,s_ifr seasonal IFR,,
,s_ifr,n,China (Hong-Kong),Kwok 2017,2009-Jan-Nov_AH1,9.3,6.6,13.1,85,54107,,,
,s_ifr,n,China (Hong-Kong),Kwok 2017,2010-Dec-Nov_AH1,30.8,20.9,45.5,85,54107,,,
,s_ifr,n,China (Hong-Kong),Kwok 2017,2011-Dec-Dec_AH1,37,28.1,48.8,85,54107,,,
,s_ifr,n,China (Hong-Kong),Kwok 2017,2009-Jan-Nov_AH3,46.2,22.7,93,85,54107,,,
,s_ifr,n,China (Hong-Kong),Kwok 2017,2010-Dec-Nov_AH3,78.7,53.5,116,85,54107,,,
,s_ifr,n,China (Hong-Kong),Kwok 2017,2011-Dec-Dec_AH3,54.6,18.9,149,85,54107,,,
,s_cfr,y,Saudi Arabia (nationwide),Abdalla 2020,2010-2017,534.8,500,580,79,35057,"No CI for each year, as report surveillance cases and deaths",,
,s_cfr,n,Saudi Arabia (nationwide),Abdalla 2021,2010-2011,468.7,NA,NA,79,35057,s_cfr seasonal sCFR,,
,s_cfr,n,Saudi Arabia (nationwide),Abdalla 2022,2011-2012,124,NA,NA,79,35057,,,
,s_cfr,n,Saudi Arabia (nationwide),Abdalla 2023,2012-2013,437.5,NA,NA,79,35057,,,
,s_cfr,n,Saudi Arabia (nationwide),Abdalla 2024,2013-2014,712,NA,NA,79,35057,,,
,s_cfr,n,Saudi Arabia (nationwide),Abdalla 2025,2014-2015,907.7,NA,NA,79,35057,,,
,s_cfr,n,Saudi Arabia (nationwide),Abdalla 2026,2015-2016,856.2,NA,NA,79,35057,,,
,s_cfr,n,Saudi Arabia (nationwide),Abdalla 2027,2016-2017,422.6,NA,NA,79,35057,,,
,s_cfr,z,Greece (nationwide),Athanasiou 2011,2010-2011,35.4,NA,NA,,,z=remove from calculation,,
,s_cfr,S,New Zealand (nationwide),Bandaranayake 2011,2010-Jan-Oct,8.5,NA,NA,82,68219,"s = single - corresponds to mean (,) for countries with 1 or 2 obs",,
,s_cfr,n,New Zealand (nationwide),Bandaranayake 2011,2010-Jan-Oct,8.5,NA,NA,82,68219,,,
,s_cfr,y,Norway (nationwide),Hauge 2019,2008-2017,84.9,37.5,132.2,83,86810,"No CI for each year, as report surveillace cases and deaths",,
,s_cfr,n,Norway (nationwide),Hauge 2020,2008-2009,11.6,NA,NA,83,86810,,,
,s_cfr,n,Norway (nationwide),Hauge 2021,2009-2010,14.7,NA,NA,83,86810,,,
,s_cfr,n,Norway (nationwide),Hauge 2022,2010-2011,21.2,NA,NA,83,86810,,,
,s_cfr,n,Norway (nationwide),Hauge 2023,2011-2012,47.3,NA,NA,83,86810,,,
,s_cfr,n,Norway (nationwide),Hauge 2024,2012-2013,78.6,NA,NA,83,86810,,,
,s_cfr,n,Norway (nationwide),Hauge 2025,2013-2014,94.9,NA,NA,83,86810,,,
,s_cfr,n,Norway (nationwide),Hauge 2026,2014-2015,135.7,NA,NA,83,86810,,,
,s_cfr,n,Norway (nationwide),Hauge 2027,2015-2016,108.9,NA,NA,83,86810,,,
,s_cfr,n,Norway (nationwide),Hauge 2028,2016-2017,250.9,NA,NA,83,86810,,,
,s_cfr,S,Poland (nationwide),Kondratiuk_2016,2012-2013,1.92,NA,NA,79,25023,,,
,s_cfr,n,Poland (nationwide),Kondratiuk_2016,2012-2013,3.6,NA,NA,79,25023,,,
,s_cfr,n,Poland (nationwide),Kondratiuk_2017,2013-2014,0.3,NA,NA,79,25023,,,
,s_cfr,S,China (Guangzhou),Li 2011,2009-2010,38.8,NA,NA,78,13303,,,
,s_cfr,n,China (Guangzhou),Li 2011,2009-2010,71.8,NA,NA,78,13303,,,
,s_cfr,n,China (Guangzhou),Li 2012,2010-2011,5.8,NA,NA,78,13303,,,
,s_cfr,S,Netherlands (nationwide),McDonald 2023,2011-2020,119.4,116,123,82,68219,Bayesian estimation (with CrI) of sympt cases and deaths,,
,s_cfr,n,Netherlands (nationwide),McDonald 2023,2011-2020,119.4,116,123,82,68219,Bayesian estimation (with CrI) of sympt cases and deaths,,
,s_cfr,S,India (Pune),Mishra 2010,2009-Aug-Oct,130,NA,NA,72,2697,"assessed as s_cfr for seasonal-A subtypes, though Wong_2013 classified the pdm09 subtype as cCFR (860)",,
,s_cfr,n,India (Pune),Mishra 2010,2009-Aug-Oct,130,NA,NA,72,2697,"assessed as s_cfr for seasonal-A subtypes, though Wong_2013 classified the pdm09 subtype as cCFR (860)",,
,s_cfr,S,Romania (nationwide),Pana 2020,2014-2019,97.6,NA,NA,77,20072,,,
,s_cfr,n,Romania (nationwide),Pana 2020,2014-2019,97.6,NA,NA,77,20072,,,
,s_cfr,y,Italy (nationwide),Rosano 2019,2013-2017,314.9,168.2,461.5,84,40226,Poisson regression for EM,,
,s_cfr,n,Italy (nationwide),Rosano 2019,2013-2014,154.7,106.3,246.6,84,40226,Deaths-UI for each year from EM regression,,
,s_cfr,n,Italy (nationwide),Rosano 2019,2014-2015,321.6,266.6,395.9,84,40226,"Cases are survellance counts, but assumed UI is multiple of death's UI ",,
,s_cfr,n,Italy (nationwide),Rosano 2019,2015-2016,324,266.4,399.6,84,40226,,,
,s_cfr,n,Italy (nationwide),Rosano 2019,2016-2017,459.1,386.5,554.7,84,40226,,,
,s_cfr,n,Global,Simonsen 2018 ,2009-2011,70,40,110,,,,,
,s_cfr,n,Asia,Simonsen 2019,2009-2011,10,0,30,,,,,
,s_cfr,n,Europe,Simonsen 2020,2009-2011,190,70,310,,,,,
,s_cfr,n,North America,Simonsen 2021,2009-2011,150,10,290,,,,,
